addr	bucket	code_units	name
00011000	GAME_UNIQUE	22	CClient::vfunc8
00011040	ENGINE	16	memcpy
00011070	GAME_UNIQUE	31	main_game_loop
00011100	XBOX_PLATFORM	21	repeat_function_call
00011300	GAME_UNIQUE	8	refresh_timer_state
00011320	GAME_UNIQUE	18	GetEngineInstance
00011390	GAME_UNIQUE	202	CClient::vfunc3
000116d0	GAME_UNIQUE	71	handle_engine_startup
00011810	GAME_UNIQUE	84	engine_shutdown
000119e0	ENGINE	5	release_object_handle_44
000119f0	GAME_UNIQUE	5	register_shutdown_callback
00011a20	XBOX_PLATFORM	7	release_ref_count
00011a40	XBOX_PLATFORM	10	safe_release_ref_count
00011a60	GAME_UNIQUE	245	validate_memory_state
00011e40	GAME_UNIQUE	30	engine_main_loop
00011f30	ENGINE	16	fast_zero_memory
00011f60	GAME_UNIQUE	5	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc13
00011f70	GAME_UNIQUE	22	apply_render_state_flags
00011fd0	ENGINE	9	Vector3_Assign
00011ff0	XBOX_PLATFORM	8	Vector3_Assign_Alt
00012010	XBOX_PLATFORM	7	Vector3_Init
00012030	XBOX_PLATFORM	14	Vector3_AddScaled
00012060	XBOX_PLATFORM	20	Vector3_Distance
00012090	XMEN_SERIES	11	Matrix3x3_FromEulerDegrees
000120d0	XBOX_PLATFORM	8	IsNaN
000120f0	GAME_PORTABLE	19	Polynomial_EvaluateClamped
00012130	GAME_UNIQUE	40	Ray_GetPoint
000121c0	GAME_UNIQUE	42	Ray_GetRandomPoint
000122f0	ENGINE	58	BitArray_FindNext
00012390	ENGINE	58	BitArray175_FindNext
00012430	GAME_PORTABLE	37	StringHash_Lookup
00012490	ENGINE	37	SmallStringHash_Lookup
000124f0	ENGINE	37	TinyStringHash_Lookup
00012550	ENGINE	37	MediumStringHash_Lookup
000125b0	GAME_PORTABLE	28	IntegerPower
000125f0	XBOX_PLATFORM	26	Vector3_IsValid
00012640	ENGINE	10	ratl::tree_shared::vfunc8
00012660	GAME_UNIQUE	33	tmpl__AV_tree_base_U_value_semantics_node_USFxFileRecord_CFxTemplateManager_0KP_Vtree_node_ratl_stora::vfunc14
000126d0	GAME_PORTABLE	9	IntegerPowerToFloat
000126f0	GAME_UNIQUE	64	Physics_MultiRayCast
00012870	GAME_UNIQUE	60	Physics_MultiRayCast_Ex
000129c0	XBOX_PLATFORM	26	Vector3_Normalize
00012a00	GAME_UNIQUE	29	Ray_Init
00012a70	ENGINE	5	Resource_GetElementPtr
00012a90	GAME_UNIQUE	52	StringTable_AddString
00012b20	GAME_UNIQUE	52	StringTable_AddString_Small
00012bb0	GAME_UNIQUE	52	StringTable_AddString_Medium
00012c40	GAME_PORTABLE	10	Queue_PopHead
00012c60	GAME_UNIQUE	44	Matrix_Assign
00012cd0	GAME_UNIQUE	40	BoundingVolume_Init
00012d80	ENGINE	4	CFxPrimitiveBase::vfunc7
00012e20	GAME_PORTABLE	8	CFxPrimitiveBase::vfunc44
00012e40	GAME_PORTABLE	8	CFxPrimitiveBase::vfunc45
00012e60	GAME_PORTABLE	8	CFxPrimitiveBase::vfunc46
00012e80	GAME_UNIQUE	8	CFxPrimitiveBase::vfunc52
00012eb0	GAME_UNIQUE	12	BoundingVolume_Ctor_Derived
00012ee0	GAME_UNIQUE	7	CFxPrimitiveBase::vfunc73
00012f10	GAME_UNIQUE	18	CFxPrimitiveBase::vfunc58
00012f50	GAME_UNIQUE	63	BoundingVolume_SetupTrigger
00013040	GAME_UNIQUE	13	BoundingVolume_Ctor_Query
00013090	GAME_UNIQUE	12	CFxDLightPrimitive::vfunc24
000130e0	GAME_PORTABLE	8	Object_SetProperties
00013110	XBOX_PLATFORM	21	CFxDLightPrimitive::vfunc233
00013150	GAME_UNIQUE	10	CFxDLightPrimitive::vfunc234
00013180	GAME_UNIQUE	6	CFxDLightPrimitive::vfunc235
000131a0	ENGINE	5	CFxDLightPrimitive::vfunc236
000131d0	GAME_UNIQUE	12	BoundingVolume_Ctor_ComplexNode
00013210	XBOX_PLATFORM	7	CFxSpritePrimitive::vfunc15
00013240	GAME_UNIQUE	14	BoundingVolume_Ctor_LeafNode
00013290	GAME_UNIQUE	10	CFxDLightPrimitive::vfunc116
000132c0	GAME_UNIQUE	12	BoundingVolume_Ctor_ExtendedNode
00013300	GAME_UNIQUE	24	AudioNode_UpdateAndCheckBounds
00013340	GAME_PORTABLE	15	CFxTessMeshPrimitive::vfunc11
00013380	GAME_UNIQUE	14	BoundingVolume_Ctor_LeafNodeB
000133d0	GAME_UNIQUE	8	CFxOrientedSpritePrimitive::vfunc13
000133f0	GAME_PORTABLE	13	CFxOrientedSpritePrimitive::vfunc14
00013430	GAME_UNIQUE	20	BoundingVolume_Ctor_BoundedLeafNode
000134b0	ENGINE	12	CFxSparkPrimitive::vfunc19
00013500	GAME_UNIQUE	60	CFxSparkPrimitive::vfunc9
000135e0	GAME_UNIQUE	28	BoundingVolume_Ctor_DualBoundedLeafNode
000136f0	GAME_UNIQUE	27	AudioNode_UpdateAndCheckLifetime
00013740	GAME_PORTABLE	10	CFxTextPrimitive::vfunc60
00013760	GAME_UNIQUE	27	BoundingVolume_Ctor_DualBoundedLeafNode_Shifted
00013800	XBOX_PLATFORM	23	CFxLinePrimitive::vfunc10
00013870	ENGINE	23	CFxLinePrimitive::vfunc27
000138f0	GAME_UNIQUE	13	BoundingVolume_Ctor_TripleBoundedLeafNode
00013940	ENGINE	14	CFxLightningPrimitive::vfunc23
00013990	GAME_UNIQUE	25	BoundingVolume_Ctor_MultiBoundedLeafNode
00013a20	GAME_UNIQUE	28	CFxCylinderPrimitive::vfunc18
00013aa0	ENGINE	12	CFxCylinderPrimitive::vfunc17
00013ae0	XBOX_PLATFORM	7	CFxCylinderPrimitive::vfunc13
00013b10	GAME_UNIQUE	43	AudioNode_UpdateDualKinematics
00013b80	GAME_UNIQUE	13	AudioNode_Ctor_DualKinematicLeaf
00013be0	GAME_UNIQUE	38	SpatialTransform_Set
00013c60	XBOX_PLATFORM	12	Vector3_Subtract
00013c90	XBOX_PLATFORM	12	Vector3_Scale
00013cc0	GAME_UNIQUE	70	Vector3_GenerateJitterAndTransform
