addr	bucket	code_units	status	name
00040e60	GAME_UNIQUE	2072	UNNAMED	FUN_00040e60
0001a5f0	GAME_UNIQUE	1524	UNNAMED	FUN_0001a5f0
000c1f40	GAME_UNIQUE	1516	UNNAMED	FUN_000c1f40
00115830	GAME_UNIQUE	1409	UNNAMED	FUN_00115830
00016b00	GAME_UNIQUE	1342	UNNAMED	FUN_00016b00
000f4b50	GAME_UNIQUE	1215	named	CAIPattern::vfunc7
00080df0	GAME_UNIQUE	1205	named	IMap::vfunc60
00061040	GAME_UNIQUE	1096	UNNAMED	FUN_00061040
000ef390	GAME_UNIQUE	1035	named	CAIRangedAttackHandler::vfunc0
00303210	GAME_UNIQUE	986	UNNAMED	FUN_00303210
000955c0	GAME_UNIQUE	981	UNNAMED	FUN_000955c0
000afd70	GAME_UNIQUE	970	UNNAMED	FUN_000afd70
0012b350	GAME_UNIQUE	960	UNNAMED	FUN_0012b350
00062f10	GAME_UNIQUE	906	UNNAMED	FUN_00062f10
000ffa60	GAME_UNIQUE	879	UNNAMED	FUN_000ffa60
001093d0	GAME_UNIQUE	845	UNNAMED	FUN_001093d0
001ff070	GAME_UNIQUE	840	UNNAMED	FUN_001ff070
000dff10	GAME_UNIQUE	832	named	CCHJumpLiftAttack::vfunc511
00045260	GAME_UNIQUE	823	UNNAMED	FUN_00045260
00282f50	GAME_UNIQUE	810	UNNAMED	FUN_00282f50
00211530	GAME_UNIQUE	804	UNNAMED	FUN_00211530
00110890	GAME_UNIQUE	798	UNNAMED	FUN_00110890
00024380	GAME_UNIQUE	775	UNNAMED	FUN_00024380
0005af10	GAME_UNIQUE	769	named	CCombatSystem::vfunc10
00114d30	GAME_UNIQUE	756	UNNAMED	FUN_00114d30
000e2610	GAME_UNIQUE	740	UNNAMED	FUN_000e2610
0015ad50	GAME_UNIQUE	733	UNNAMED	FUN_0015ad50
00283a40	GAME_UNIQUE	733	UNNAMED	FUN_00283a40
000e6040	GAME_UNIQUE	728	UNNAMED	FUN_000e6040
00112b20	GAME_UNIQUE	727	UNNAMED	FUN_00112b20
000bb850	GAME_UNIQUE	724	UNNAMED	FUN_000bb850
00096ba0	GAME_UNIQUE	716	named	CProjectileEntity::vfunc71
002c21ae	GAME_UNIQUE	711	UNNAMED	FUN_002c21ae
0027e700	GAME_UNIQUE	700	UNNAMED	FUN_0027e700
003addc9	GAME_UNIQUE	698	UNNAMED	FUN_003addc9
000f2990	GAME_UNIQUE	696	named	CAIShadesNoWingAttackHandler::vfunc25
00166b50	GAME_UNIQUE	684	UNNAMED	FUN_00166b50
000ccf60	GAME_UNIQUE	680	UNNAMED	FUN_000ccf60
00196690	GAME_UNIQUE	675	UNNAMED	FUN_00196690
000d3270	GAME_UNIQUE	674	named	CCEAtkTeleport::vfunc237
00169200	GAME_UNIQUE	657	UNNAMED	FUN_00169200
00018cf0	GAME_UNIQUE	647	UNNAMED	FUN_00018cf0
00022400	GAME_UNIQUE	647	named	CFxDLightPrimitive::vfunc174
001753b0	GAME_UNIQUE	642	named	CMenuItemCharacters::vfunc3
0015d620	GAME_UNIQUE	631	UNNAMED	FUN_0015d620
0020efd0	GAME_UNIQUE	630	UNNAMED	FUN_0020efd0
000eea60	GAME_UNIQUE	627	named	CAIStandardAttackHandler::vfunc0
00119ad0	GAME_UNIQUE	619	UNNAMED	FUN_00119ad0
0008b360	GAME_UNIQUE	617	named	CMultiplayer::vfunc20
001e2860	GAME_UNIQUE	616	UNNAMED	FUN_001e2860
001db2e0	GAME_UNIQUE	613	UNNAMED	FUN_001db2e0
0020c540	GAME_UNIQUE	611	UNNAMED	FUN_0020c540
0014c930	GAME_UNIQUE	610	UNNAMED	FUN_0014c930
002392e0	GAME_UNIQUE	610	UNNAMED	FUN_002392e0
00091560	GAME_UNIQUE	609	named	tmpl__AV_COnlyOneEvent_VCActor_VEFirstEquipment_::vfunc91
002c87d6	GAME_UNIQUE	609	UNNAMED	FUN_002c87d6
0015b9b0	GAME_UNIQUE	607	UNNAMED	FUN_0015b9b0
